FacilityType,SupplyChainFlow,ShipToParty,ShipToName,ABCClass,ParentName,ShipToCountry,Material,MaterialDescription,Commodity,ProductGroup,ProductOrigin,QuantityInMT,TotalSalesValue,TotalCOGS,GM,TotalStorageCostPerYear,TotalHandlingCost,TotalDemurrageCost,IOC,TotalTransportCost,CBM,SGA,CBMAI,EBITAI,Segment
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.096,0,227.6584607432683,-227.6584607432683,1.287799547733882,0.759029320751251,0,5.475303766705411,0,-229.70528961175341,9.06160081379067,-235.18059337845884,-244.2421941922495,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121685,AWAR UHT CRM CHF CLA MDE 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.012,0,26.413802550711488,-26.413802550711488,0.11270764605994453,0.09487866509390637,0,0.30820539103989597,0,-26.621388861865338,1.1327001017238338,-26.929594252905233,-28.062294354629067,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121691,AWAR TR UHT CRM CHF CLA SAM 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.012,0,8.673673748362477,-8.673673748362477,0.12856779669303664,0.09487866509390637,0,6.509455154712479,0,-8.89712021014942,1.1327001017238338,-15.4065753648619,-16.539275466585735,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121694,AWAR TR UHT CRM EX YIELD SAM 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.086,0,189.298918280099,-189.298918280099,0.9214025429667626,0.6799637665063288,0,25.026019671504635,0,-190.9002845895721,8.117684062354142,-215.92630426107672,-224.04398832343085,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121710,AWAR UHT CRM UHRENHOLT 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.012,0,33.675932803086674,-33.675932803086674,0.16097494346673524,0.09487866509390637,0,0.3858695323368375,0,-33.931786411647316,1.1327001017238338,-34.31765594398416,-35.45035604570799,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121719,TR AWAR UHT CRM EX WHIP SAM 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.157,0,345.58058337180864,-345.58058337180864,1.6820953400672296,1.241329201645275,0,200.36220280696176,0,-348.50400791352115,14.819492997553493,-548.866210720483,-563.6857037180365,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121742,AWAR UHT CRM CHF CLA LATAM 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.012,0,26.413802550711488,-26.413802550711488,0.11270764605994453,0.09487866509390637,0,0.29164182168535147,0,-26.621388861865338,1.1327001017238338,-26.91303068355069,-28.045730785274525,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,122034,AWAR UHT CRM CHF CLA E-MART 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.024,0,52.827605101422975,-52.827605101422975,0.22541529211988906,0.18975733018781274,0,0.8569382904113529,0,-53.242777723730676,2.2654002034476677,-54.099716014142025,-56.365116217589694,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,122064,AWAR UHT CKG CRM DESS 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.08399999999999999,0,184.8966178549804,-184.8966178549804,0.7817093748848738,0.6641506556573444,0,0.5165431312170187,0,-186.34247788552264,7.928900712066836,-186.85902101673966,-194.7879217288065,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2008455,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,122070,AWAR UHT CRM CHF CLA CN AFP 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.012,0,26.413802550711488,-26.413802550711488,0.11270764605994453,0.09487866509390637,0,0.2924873703619373,0,-26.621388861865338,1.1327001017238338,-26.913876232227274,-28.04657633395111,Fonterra
